Alabama,321928
Alaska,366611
Arizona,1891327
Arkansas,257011
California,7258725
Colorado,2536531
Connecticut,226366
Delaware,1157
Florida,4680967
Georgia,3903082
Hawaii,1012001
Idaho,211558
Illinois,3904241
Indiana,465813
Iowa,202949
Kansas,124566
Kentucky,234519
Lousiana,699799
Maine,86036
Maryland,973881
Massachusetts,1187443
Michigan,1557453
Minnesota,1343748
Mississippi,137751
Missouri,1124397
Montana,180353
Nebraska,244017
Nevada,1626500
New Hampshire,81361
New Jersey,1194955
New Mexico,271127
New York,2792944
North Carolina,2177706
North Dakota,149746
Ohio,1196058
Oklahoma,376284
Oregon,671609
Pennsylvania,1301643
Rhode Island,143483
South Carolina,387734
South Dakota,109657
Tennessee,1025471
Texas,6776451
Utah,1134699
Vermont,52148
Virginia,410174
Washington,1339252
West Virginia,40327
Wisconsin,559773
Wyoming ,92568
